ts,mag_0,mag_1,mag_2,extmag_0,extmag_1,extmag_2,gyro_0,gyro_1,gyro_2,gyro_temp,extgyro_0,extgyro_1,extgyro_2,fss_raw_0,fss_raw_1,fss_raw_2,fss_raw_3,fss_raw_4,fss_raw_5,fss_raw_6,fss_raw_7,fss_raw_8,fss_raw_9,fss_raw_10,fss_raw_11,fss_raw_12,fss_raw_13,fss_raw_14,fss_raw_15,fss_raw_16,fss_raw_17,fss_raw_18,fss_raw_19,fss_raw_20,fss_raw_21,fss_raw_22,fss_raw_23,st_raw_0,st_raw_1,st_raw_2,st_raw_3,st_valid_0,st_valid_1,st_valid_2,st_valid_3,status_str,ephem_suneci_0,ephem_suneci_1,ephem_suneci_2,ephem_mageci_0,ephem_mageci_1,ephem_mageci_2
1642723520,-317.93914794921875,213.19973754882812,246.31678771972656,-309.0970764160156,236.11839294433594,282.4680480957031,-0.03745830059051514,0.020415663719177246,0.09846222400665283,14.197647094726562,0.0,0.0,0.0,658,545,539,717,44,9,6,5,364,146,46,153,4970,3880,4175,5291,617,693,445,466,197,371,224,86,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75697070080.0,-115924877312.0,-50252693504.0,-768.7077026367188,-44268.45703125,-7958.6982421875
1642723530,-313.89642333984375,232.7250518798828,243.66465759277344,-307.4921875,247.54473876953125,277.7693176269531,-0.03557002544403076,0.03344166278839111,0.07142205536365509,14.241765022277832,0.0,0.0,0.0,632,520,514,697,46,16,9,6,368,148,47,157,4975,3833,4137,5309,603,693,448,461,189,353,215,83,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75697070080.0,-115924877312.0,-50252693504.0,-892.107177734375,-44348.19921875,-8971.1806640625
1642723540,-317.6228942871094,241.0498504638672,235.5177001953125,-304.9817810058594,258.0549011230469,271.347900390625,-0.04218637943267822,0.005874454975128174,0.11268851161003113,14.247647285461426,0.0,0.0,0.0,602,488,488,670,49,19,7,7,373,151,51,159,4981,3781,4094,5328,578,689,453,453,187,334,201,81,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75697070080.0,-115924877312.0,-50252693504.0,-1004.1708374023438,-44397.42578125,-9882.666015625
1642723550,-310.0341491699219,257.2182922363281,236.98423767089844,-302.8687438964844,268.7160949707031,266.1062927246094,-0.05453801155090332,-0.008382737636566162,0.12674181163311005,14.279999732971191,0.0,0.0,0.0,573,466,466,644,46,19,10,7,375,155,55,160,4983,3739,4061,5346,545,676,450,445,189,319,193,82,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75697070080.0,-115924877312.0,-50252693504.0,-1129.8450927734375,-44427.03515625,-10895.3134765625
1642723560,-310.15618896484375,263.7708740234375,234.4816436767578,-300.07598876953125,279.8487548828125,260.44384765625,-0.01881265640258789,-0.036376118659973145,0.07211382687091827,14.312353134155273,0.0,0.0,0.0,541,445,437,611,42,20,9,7,368,155,56,164,4985,3689,4020,5364,509,655,448,431,192,302,185,83,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75698274304.0,-115924213760.0,-50252406784.0,-1243.898681640625,-44431.15234375,-11805.9697265625
1642723570,-311.5018615722656,277.03472900390625,223.18577575683594,-296.900390625,290.9848937988281,253.86016845703125,-0.03166770935058594,0.045709967613220215,0.09291999042034149,14.332941055297852,0.0,0.0,0.0,515,435,419,581,37,18,9,7,363,155,58,167,4990,3639,3974,5380,467,624,445,415,196,302,182,83,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75698274304.0,-115924213760.0,-50252406784.0,-1371.64501953125,-44410.76953125,-12816.4306640625
1642723580,-302.27288818359375,288.3651428222656,223.2689971923828,-293.9165344238281,301.81060791015625,247.67214965820312,-0.05863666534423828,-0.01629263162612915,0.12737593054771423,14.344705581665039,0.0,0.0,0.0,496,428,399,555,35,20,9,9,355,156,64,171,4990,3585,3929,5397,432,591,437,400,208,312,187,88,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75698274304.0,-115924213760.0,-50252406784.0,-1500.4461669921875,-44364.03125,-13824.7861328125
1642723590,-298.4012145996094,310.4230651855469,216.64694213867188,-289.8009338378906,313.1152648925781,241.55484008789062,-0.03664755821228027,0.024395287036895752,0.09335233271121979,14.377058982849121,0.0,0.0,0.0,489,428,390,530,32,18,9,8,345,154,64,174,4996,3534,3879,5414,405,560,426,387,213,328,192,92,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75698274304.0,-115924213760.0,-50252406784.0,-1630.219970703125,-44291.109375,-14830.4697265625
1642723600,-293.4883117675781,314.5409240722656,213.6143798828125,-285.2112121582031,325.3528137207031,235.8007354736328,0.012436389923095703,0.010280191898345947,0.07297852635383606,14.400588035583496,0.0,0.0,0.0,494,438,384,515,28,19,11,6,331,149,69,178,4999,3479,3824,5428,396,528,418,380,219,349,202,96,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75698274304.0,-115924213760.0,-50252406784.0,-1760.9443359375,-44191.984375,-15832.7783203125
1642723610,-293.0052185058594,332.5719909667969,206.17800903320312,-279.3560791015625,337.3004150390625,230.36647033691406,-0.034381747245788574,0.0441473126411438,0.10073928534984589,14.430000305175781,0.0,0.0,0.0,513,451,388,508,27,18,9,9,312,147,69,180,5006,3421,3767,5438,404,509,409,376,222,367,212,101,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75699544064.0,-115923517440.0,-50252103680.0,-1892.5662841796875,-44066.74609375,-16831.146484375
